model,delay_len,noise_write_ratio,max_mem,expected_non_source_writes,expected_boundary,acc_mean,acc_std,num_seeds
naive,40,0.5,43,21,41,0.9894741134643554,0.017325548178090646,7
naive,40,0.5,51,21,41,0.9894741134643554,0.017325548178090646,7
naive,40,0.5,61,21,41,0.9894741134643554,0.017325548178090646,7
naive,40,0.75,10,31,51,0.04974375095404682,0.00035467491941357725,7
naive,40,0.75,20,31,51,0.049779465143169624,0.00034846605701674736,7
naive,40,0.75,49,31,51,0.9338000116518564,0.01642001243831172,7
naive,40,0.75,50,31,51,0.9427285827568598,0.014823966429008077,7
naive,40,0.75,51,31,51,0.99555536372321,0.0014300607873628324,7
naive,40,0.75,52,31,51,0.99555536372321,0.0014300607873628324,7
naive,40,0.75,53,31,51,0.99555536372321,0.0014300607873628324,7
naive,40,0.75,61,31,51,0.99555536372321,0.0014300607873628324,7
naive,40,0.75,71,31,51,0.99555536372321,0.0014300607873628324,7
naive,40,1.0,10,41,61,0.049437500868790875,0.0004992703672500555,7
naive,40,1.0,20,41,61,0.04972232235276267,0.0004019946515323534,7
naive,40,1.0,59,41,61,0.8865830474581038,0.03313759954703487,7
naive,40,1.0,60,41,61,0.9093116187027522,0.030840928790388106,7
naive,40,1.0,61,41,61,0.9760883998359953,0.03679022539503329,7
naive,40,1.0,62,41,61,0.9760883998359953,0.03679022539503329,7
naive,40,1.0,63,41,61,0.9760883998359953,0.03679022539503329,7
naive,40,1.0,71,41,61,0.9760883998359953,0.03679022539503329,7
naive,40,1.0,81,41,61,0.9760883998359953,0.03679022539503329,7
naive,80,0.0,10,1,21,0.5303660829407828,0.025883287887555118,7
naive,80,0.0,19,1,21,0.85149822642122,0.11175701040421085,7
naive,80,0.0,20,1,21,0.8591214407682418,0.11313337615527722,7
naive,80,0.0,21,1,21,0.9122964383704322,0.0818706102341617,7
naive,80,0.0,22,1,21,0.9122964383704322,0.0818706102341617,7
naive,80,0.0,23,1,21,0.9122964383704322,0.0818706102341617,7
naive,80,0.0,31,1,21,0.9122964383704322,0.0818706102341617,7
naive,80,0.0,41,1,21,0.9122964383704322,0.0818706102341617,7
naive,80,0.25,10,21,41,0.05016517946390166,0.0002554830137766331,7
naive,80,0.25,20,21,41,0.26133750448056625,0.10917637896485351,7
naive,80,0.25,39,21,41,0.9369196554252079,0.01757454268817019,7
naive,80,0.25,40,21,41,0.9434901899610246,0.015844967967913733,7
