acc_best,acc_last,acc_mean_tail,acc_std_tail,delay_len,eval_tail,expected_boundary,loss_best,loss_mean_tail,loss_std_tail,mask_mode,max_mem,model,noise_write_budget,phase,seed,task,theoretical_retained_source,theoretical_source_retention_ratio,window_size,write_mode
1.0,1.0,0.9999124999046326,0.0005864349369669448,20,500,20,8.54804693517508e-06,0.0004321371292535332,0.0020791954801762567,forced,30,naive,,expD_symbolic_kv,1,symbolic_key_value_retrieval,20,1.0,8,source-only
0.34687501192092896,0.30000001192092896,0.2722562556862831,0.018293163274616008,20,500,41,1.6409953832626343,1.6547313628196716,0.0019168344111203815,forced,10,naive,,expD_symbolic_kv,1,symbolic_key_value_retrieval,0,0.0,8,prefix-all
0.48125001788139343,0.42500001192092896,0.4134562560915947,0.0178755366422449,20,500,41,1.2091548442840576,1.2623485622406005,0.015194527976501726,forced,20,naive,,expD_symbolic_kv,1,symbolic_key_value_retrieval,0,0.0,8,prefix-all
0.9125000238418579,0.8812500238418579,0.8813000117540359,0.013381329198129671,20,500,41,0.17914238572120667,0.2387550800740719,0.04028337005207034,forced,39,naive,,expD_symbolic_kv,1,symbolic_key_value_retrieval,18,0.9,8,prefix-all
0.9156250357627869,0.875,0.8840187627077103,0.008395150929117735,20,500,41,0.17493844032287598,0.22792905205488204,0.013503650671562985,forced,40,naive,,expD_symbolic_kv,1,symbolic_key_value_retrieval,19,0.95,8,prefix-all
0.9125000238418579,0.887499988079071,0.8847187621593475,0.00818123610320695,20,500,41,0.1752946376800537,0.2263276136815548,0.012470247904875406,forced,41,naive,,expD_symbolic_kv,1,symbolic_key_value_retrieval,20,1.0,8,prefix-all
0.9125000238418579,0.887499988079071,0.8847187621593475,0.00818123610320695,20,500,41,0.1752946376800537,0.2263276136815548,0.012470247904875406,forced,42,naive,,expD_symbolic_kv,1,symbolic_key_value_retrieval,20,1.0,8,prefix-all
0.9125000238418579,0.887499988079071,0.8847187621593475,0.00818123610320695,20,500,41,0.1752946376800537,0.2263276136815548,0.012470247904875406,forced,43,naive,,expD_symbolic_kv,1,symbolic_key_value_retrieval,20,1.0,8,prefix-all
0.9125000238418579,0.887499988079071,0.8847187621593475,0.00818123610320695,20,500,41,0.1752946376800537,0.2263276136815548,0.012470247904875406,forced,51,naive,,expD_symbolic_kv,1,symbolic_key_value_retrieval,20,1.0,8,prefix-all
0.9125000238418579,0.887499988079071,0.8847187621593475,0.00818123610320695,20,500,41,0.1752946376800537,0.2263276136815548,0.012470247904875406,forced,61,naive,,expD_symbolic_kv,1,symbolic_key_value_retrieval,20,1.0,8,prefix-all
1.0,1.0,0.9999124999046326,0.0005864349369669448,20,500,20,8.54804693517508e-06,0.0004321371292535332,0.0020791954801762567,forced,20,naive,0,expD_symbolic_kv,1,symbolic_key_value_retrieval,20,1.0,8,source-pinned-noise-fifo
1.0,1.0,0.9996624997854233,0.0011706689429431313,20,500,20,1.0434743671794422e-05,0.001960938003296178,0.006573574783542896,forced,40,naive,20,expD_symbolic_kv,1,symbolic_key_value_retrieval,20,1.0,8,source-pinned-noise-fifo
1.0,1.0,0.9996624997854233,0.0011706689429431313,20,500,20,1.0434743671794422e-05,0.001960938003296178,0.006573574783542896,forced,60,naive,40,expD_symbolic_kv,1,symbolic_key_value_retrieval,20,1.0,8,source-pinned-noise-fifo
1.0,1.0,0.9996624997854233,0.0011706689429431313,20,500,20,1.0434743671794422e-05,0.001960938003296178,0.006573574783542896,forced,100,naive,80,expD_symbolic_kv,1,symbolic_key_value_retrieval,20,1.0,8,source-pinned-noise-fifo
0.800000011920929,0.78125,0.7696062624454498,0.010635529974855428,40,500,20,0.4589555859565735,0.5261813492178917,0.020410128188005822,forced,10,naive,,expD_symbolic_kv,1,symbolic_key_value_retrieval,10,0.5,8,source-only
0.9468750357627869,0.9156250357627869,0.9192062619924545,0.007989668319406484,40,500,20,0.10085143893957138,0.14057609210908412,0.010395074436158128,forced,15,naive,,expD_symbolic_kv,1,symbolic_key_value_retrieval,15,0.75,8,source-only
1.0,0.996874988079071,0.9997312499284744,0.0010762150671803329,40,500,20,1.2438729754649103e-05,0.0019035333510219062,0.007426939487568235,forced,20,naive,,expD_symbolic_kv,1,symbolic_key_value_retrieval,20,1.0,8,source-only
1.0,0.996874988079071,0.9997312499284744,0.0010762150671803329,40,500,20,1.2438729754649103e-05,0.0019035333510219062,0.007426939487568235,forced,25,naive,,expD_symbolic_kv,1,symbolic_key_value_retrieval,20,1.0,8,source-only
