model,write_mode,delay_len,max_mem,eval_acc_mean,eval_acc_std,acc_mean_tail_mean,acc_mean_tail_std,source_survival_rate_mean,source_survival_rate_std,attn_mass_source_mean,attn_mass_source_std,attn_mass_noise_mean,attn_mass_noise_std,attn_mass_sep_mean,attn_mass_sep_std,attn_mass_other_mean,attn_mass_other_std,attn_entropy_mean,attn_entropy_std,mem_source_entries_mean,mem_source_entries_std,mem_noise_entries_mean,mem_noise_entries_std,mem_sep_entries_mean,mem_sep_entries_std,eval_error_rate_mean,eval_error_rate_std,err_sep_rate_mean,err_sep_rate_std,err_source_only_rate_mean,err_source_only_rate_std,err_noise_only_rate_mean,err_noise_only_rate_std,err_both_source_and_noise_rate_mean,err_both_source_and_noise_rate_std,err_other_rate_mean,err_other_rate_std
gated,source-pinned-noise-fifo,40,20,1.0,0.0,0.9964901830979755,0.0005952471797940787,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03691500654843231,0.01262636538432478,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gated,source-pinned-noise-fifo,40,25,0.9999720981078488,7.382146774003913e-05,0.9961455409186227,0.0007516781433853022,1.0,0.0,0.9999826412115779,1.8589269973648537e-05,1.738008408835867e-05,1.8585033699125927e-05,0.0,0.0,0.0,0.0,0.038165372646679775,0.007190520982057299,20.0,0.0,5.0,0.0,0.0,0.0,2.7901785714285717e-05,7.382118613461469e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.008928571428571428,0.023622779563076703,0.0,0.0
gated,source-pinned-noise-fifo,40,30,1.0,0.0,0.9967589326075146,0.0009079693657383693,1.0,0.0,0.9999945999256202,2.8211090409337714e-06,5.416633972085297e-06,2.821107185610716e-06,0.0,0.0,0.0,0.0,0.03392933114498317,0.005716011570256241,20.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gated,source-pinned-noise-fifo,40,40,1.0,0.0,0.9966535755566188,0.0007710129236978264,1.0,0.0,0.9999905228614807,1.864458334077671e-05,9.503900302933386e-06,1.8649255202550665e-05,0.0,0.0,0.0,0.0,0.03328305552713567,0.006612960405677177,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gated,source-pinned-noise-fifo,40,60,0.9999441962156977,0.00014764293548015544,0.996516969186919,0.000524722216687305,1.0,0.0,0.9715487084218434,0.07524510471815817,0.028451317598842646,0.07524510310143583,0.0,0.0,0.0,0.0,0.051200664602220024,0.01938345416787269,20.0,0.0,40.0,0.0,0.0,0.0,5.5803571428571434e-05,0.0001476423722692294,0.0,0.0,0.0,0.0,0.0,0.0,0.017857142857142856,0.04724555912615341,0.0,0.0
gated,source-pinned-noise-fifo,40,80,0.9999441962156977,0.00014764293548015544,0.996516969186919,0.000524722216687305,1.0,0.0,0.9715487084218434,0.07524510471815817,0.028451317598842646,0.07524510310143583,0.0,0.0,0.0,0.0,0.051200664602220024,0.01938345416787269,20.0,0.0,40.0,0.0,0.0,0.0,5.5803571428571434e-05,0.0001476423722692294,0.0,0.0,0.0,0.0,0.0,0.0,0.017857142857142856,0.04724555912615341,0.0,0.0
gated,source-pinned-noise-fifo,40,100,0.9999441962156977,0.00014764293548015544,0.996516969186919,0.000524722216687305,1.0,0.0,0.9715487084218434,0.07524510471815817,0.028451317598842646,0.07524510310143583,0.0,0.0,0.0,0.0,0.051200664602220024,0.01938345416787269,20.0,0.0,40.0,0.0,0.0,0.0,5.5803571428571434e-05,0.0001476423722692294,0.0,0.0,0.0,0.0,0.0,0.0,0.017857142857142856,0.04724555912615341,0.0,0.0
gated,source-pinned-noise-fifo,80,20,1.0,0.0,0.9968607177053179,0.000787777070995238,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034974450628007074,0.006342527806456827,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gated,source-pinned-noise-fifo,80,25,1.0,0.0,0.9962964341470173,0.0007399826462332399,1.0,0.0,0.999956764280796,3.363796032068737e-05,4.325179811611893e-05,3.3648518326174394e-05,0.0,0.0,0.0,0.0,0.03559295149586557,0.010415760326231961,20.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gated,source-pinned-noise-fifo,80,30,1.0,0.0,0.9962875054563796,0.0005818194658187421,1.0,0.0,0.999991665993418,5.555931067717595e-06,8.348919843724292e-06,5.562489504197077e-06,0.0,0.0,0.0,0.0,0.03949770196673589,0.009511028583280299,20.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
