model,write_mode,delay_len,max_mem,metric,mean,std,min,max,n_seeds
gated,source-only,40,25,source_survival_rate,1.0,0.0,1.0,1.0,7
gated,source-only,40,30,acc_mean_tail,0.9964901830979755,0.0005952471797940787,0.9957250069379806,0.99740625166893,7
gated,source-only,40,30,attn_entropy,0.03691500654843231,0.01262636538432478,0.0243564860429614,0.062936603790149,7
gated,source-only,40,30,attn_mass_noise,0.0,0.0,0.0,0.0,7
gated,source-only,40,30,attn_mass_other,0.0,0.0,0.0,0.0,7
gated,source-only,40,30,attn_mass_sep,0.0,0.0,0.0,0.0,7
gated,source-only,40,30,attn_mass_source,1.0,0.0,1.0,1.0,7
gated,source-only,40,30,err_both_source_and_noise_rate,0.0,0.0,0.0,0.0,7
gated,source-only,40,30,err_noise_only_rate,0.0,0.0,0.0,0.0,7
gated,source-only,40,30,err_other_rate,0.0,0.0,0.0,0.0,7
gated,source-only,40,30,err_sep_rate,0.0,0.0,0.0,0.0,7
gated,source-only,40,30,err_source_only_rate,0.0,0.0,0.0,0.0,7
gated,source-only,40,30,eval_acc,1.0,0.0,1.0,1.0,7
gated,source-only,40,30,eval_error_rate,0.0,0.0,0.0,0.0,7
gated,source-only,40,30,mem_noise_entries,0.0,0.0,0.0,0.0,7
gated,source-only,40,30,mem_sep_entries,0.0,0.0,0.0,0.0,7
gated,source-only,40,30,mem_source_entries,20.0,0.0,20.0,20.0,7
gated,source-only,40,30,source_survival_rate,1.0,0.0,1.0,1.0,7
gated,source-only,80,10,acc_mean_tail,0.5470571544510977,0.009639554762142243,0.5301812611818314,0.5577375118732453,7
gated,source-only,80,10,attn_entropy,0.05587316266194511,0.0193711404310501,0.0165052994852885,0.0779547877609729,7
gated,source-only,80,10,attn_mass_noise,0.0,0.0,0.0,0.0,7
gated,source-only,80,10,attn_mass_other,0.0,0.0,0.0,0.0,7
gated,source-only,80,10,attn_mass_sep,0.0,0.0,0.0,0.0,7
gated,source-only,80,10,attn_mass_source,1.0,0.0,1.0,1.0,7
gated,source-only,80,10,err_both_source_and_noise_rate,0.9810213267411766,0.003475156692017141,0.978126212474484,0.9881560986221016,7
gated,source-only,80,10,err_noise_only_rate,0.0,0.0,0.0,0.0,7
gated,source-only,80,10,err_other_rate,0.0,0.0,0.0,0.0,7
gated,source-only,80,10,err_sep_rate,0.0,0.0,0.0,0.0,7
gated,source-only,80,10,err_source_only_rate,0.018978673258823374,0.0034751566920170765,0.0118439013778985,0.0218737875255161,7
gated,source-only,80,10,eval_acc,0.5692801470203059,0.015563729348079848,0.534375011920929,0.5798828303813934,7
gated,source-only,80,10,eval_error_rate,0.4307198660714286,0.015563728451825815,0.4201171875,0.465625,7
gated,source-only,80,10,mem_noise_entries,0.0,0.0,0.0,0.0,7
gated,source-only,80,10,mem_sep_entries,0.0,0.0,0.0,0.0,7
gated,source-only,80,10,mem_source_entries,10.0,0.0,10.0,10.0,7
gated,source-only,80,10,source_survival_rate,0.5,0.0,0.5,0.5,7
gated,source-only,80,15,acc_mean_tail,0.7605330475228174,0.03809202048840218,0.7110625110864639,0.8236812616586685,7
gated,source-only,80,15,attn_entropy,0.10207876451646107,0.07115609416492023,0.0306921628070995,0.1960773216560483,7
gated,source-only,80,15,attn_mass_noise,0.0,0.0,0.0,0.0,7
gated,source-only,80,15,attn_mass_other,0.0,0.0,0.0,0.0,7
gated,source-only,80,15,attn_mass_sep,0.0,0.0,0.0,0.0,7
gated,source-only,80,15,attn_mass_source,1.0,0.0,1.0,1.0,7
gated,source-only,80,15,err_both_source_and_noise_rate,0.980900591613093,0.004533247344688538,0.9744548553063326,0.9874985182550972,7
gated,source-only,80,15,err_noise_only_rate,0.0,0.0,0.0,0.0,7
gated,source-only,80,15,err_other_rate,0.0,0.0,0.0,0.0,7
gated,source-only,80,15,err_sep_rate,0.0,0.0,0.0,0.0,7
gated,source-only,80,15,err_source_only_rate,0.019099408386906987,0.004533247344688581,0.0125014817449027,0.0255451446936674,7
gated,source-only,80,15,eval_acc,0.7775669768452644,0.035307189967361124,0.7455078288912773,0.8523437641561031,7
gated,source-only,80,15,eval_error_rate,0.22243303571428566,0.035307189825070515,0.14765625,0.2544921874999999,7
gated,source-only,80,15,mem_noise_entries,0.0,0.0,0.0,0.0,7
gated,source-only,80,15,mem_sep_entries,0.0,0.0,0.0,0.0,7
gated,source-only,80,15,mem_source_entries,15.0,0.0,15.0,15.0,7
gated,source-only,80,15,source_survival_rate,0.75,0.0,0.75,0.75,7
gated,source-only,80,20,acc_mean_tail,0.9968607177053179,0.000787777070995238,0.9957687550783156,0.9978000012636185,7
gated,source-only,80,20,attn_entropy,0.034974450628007074,0.006342527806456827,0.0238895447691902,0.0415302412584424,7
gated,source-only,80,20,attn_mass_noise,0.0,0.0,0.0,0.0,7
gated,source-only,80,20,attn_mass_other,0.0,0.0,0.0,0.0,7
gated,source-only,80,20,attn_mass_sep,0.0,0.0,0.0,0.0,7
gated,source-only,80,20,attn_mass_source,1.0,0.0,1.0,1.0,7
gated,source-only,80,20,err_both_source_and_noise_rate,0.0,0.0,0.0,0.0,7
gated,source-only,80,20,err_noise_only_rate,0.0,0.0,0.0,0.0,7
gated,source-only,80,20,err_other_rate,0.0,0.0,0.0,0.0,7
gated,source-only,80,20,err_sep_rate,0.0,0.0,0.0,0.0,7
gated,source-only,80,20,err_source_only_rate,0.0,0.0,0.0,0.0,7
gated,source-only,80,20,eval_acc,1.0,0.0,1.0,1.0,7
